code,symbol,name
256,КБАЙТ,Килобайт
257,МБАЙТ,Мегабайт
258,БОД,Бод
260,А,Ампер
263,А.Ч,"Ампер-час (3,6 кКл)"
264,ТЫС А.Ч,Тысяча ампер-часов
270,КЛ,Кулон
271,ДЖ,Джоуль
273,КДЖ,Килоджоуль
274,ОМ,Ом
280,ГРАД ЦЕЛЬС,Градус Цельсия
281,ГРАД ФАРЕНГ,Градус Фаренгейта
282,КД,Кандела
283,ЛК,Люкс
284,ЛМ,Люмен
287,ГН,Генри
288,К,Кельвин
289,Н,Ньютон
290,ГЦ,Герц
291,КГЦ,Килогерц
292,МЕГАГЦ,Мегагерц
294,ПА,Паскаль
296,СИ,Сименс
297,КПА,Килопаскаль
298,МЕГАПА,Мегапаскаль
300,АТМ,Физическая атмосфера (101325 Па)
301,АТТ,"Техническая атмосфера (98066,5 Па)"
302,ГИГАБК,Гигабеккерель
304,МКИ,Милликюри
305,КИ,Кюри
306,Г ДЕЛЯЩ ИЗОТОП,Грамм делящихся изотопов
308,МБАР,Миллибар
309,БАР,Бар
310,ГБАР,Гектобар
312,КБАР,Килобар
313,ТЛ,Тесла
314,Ф,Фарад
316,КГ/М3,Килограмм на кубический метр
317,КГ/СМ2,Килограмм на квадратный сантиметр
323,БК,Беккерель
324,ВБ,Вебер
327,УЗ,Узел (миля/ч)
328,М/С,Метр в секунду
330,ОБ/С,Оборот в секунду
331,ОБ/МИН,Оборот в минуту
333,КМ/Ч,Километр в час
335,М/С2,Метр на секунду в квадрате
337,ММ ВОД СТ,Миллиметр водяного столба
338,ММ РТ СТ,Миллиметр ртутного столба
339,СМ ВОД СТ,Сантиметр водяного столба
349,КЛ/КГ,Кулон на килограмм
352,МКС,Микросекунда
353,МЛС,Миллисекунда
354,С,Секунда
355,МИН,Минута
356,Ч,Час
359,СУТ; ДН,Сутки
360,НЕД,Неделя
361,ДЕК,Декада
362,МЕС,Месяц
364,КВАРТ,Квартал
365,ПОЛГОД,Полугодие
366,ГОД; ЛЕТ,Год
368,ДЕСЛЕТ,Десятилетие
3831,РУБ ТОННА,Рубль тонна
384,ТЫС РУБ,Тысяча рублей
385,МЛН РУБ,Миллион рублей
386,МЛРД РУБ,Миллиард рублей
387,ТРИЛЛ РУБ,Триллион рублей
388,КВАДР РУБ,Квадрильон рублей
423,ТЫС ПАСС.КМ,Тысяча пассажиро-километров
424,МЛН ПАСС.КМ,Миллион пассажиро-километров
450,ТЫС Т.КМ,Тысяча тонно-километров
451,МЛН Т.КМ,Миллион тонно-километров
479,ТЫС НАБОР,Тысяча наборов
516,Т.ТАНИД,Тонно-танид
521,ЧЕЛ/М2,Человек на квадратный метр
522,ЧЕЛ/КМ2,Человек на квадратный километр
537,ТЫС Т/СЕЗ,Тысяча тонн в сезон
538,ТЫС Т/ГОД,Тысяча тонн в год
541,ТЫС ЧЕЛ.ДН,Тысяча человеко-дней
542,ТЫС ЧЕЛ.Ч,Тысяча человеко-часов
543,ТЫС УСЛ БАНК/СМЕН,Тысяча условных банок в смену
544,МЛН ЕД/ГОД,Миллион единиц в год
546,ТЫС ПОСЕЩ/ СМЕН,Тысяча посещений в смену
548,ТЫС ПАР/СМЕН,Тысяча пар в смену
550,МЛН Т/ГОД,Миллион тонн в год
553,ТЫС Т ПЕРЕРАБ/СУТ,Тысяча тонн переработки в сутки
555,ТЫС Ц ПЕРЕРАБ/СУТ,Тысяча центнеров переработки в сутки
556,ТЫС ГОЛ/ГОД,Тысяча голов в год
5562,ТЫС ГНЕЗД,Тысяча гнезд
557,МЛН ГОЛ/ГОД,Миллион голов в год
558,ТЫС ПТИЦЕМЕСТ,Тысяча птицемест
559,ТЫС КУР. НЕСУШ,Тысяча кур-несушек
561,ТЫС Т ПАР/Ч,Тысяча тонн пара в час
562,ТЫС ПРЯД ВЕРЕТ,Тысяча прядильных веретен
563,ТЫС ПРЯД МЕСТ,Тысяча прядильных мест
596,М3/С,Кубический метр в секунду
598,М3/Ч,Кубический метр в час
599,ТЫС М3/СУТ,Тысяча кубических метров в сутки
640,ТЫС ДОЗ,Тысяча доз
